belt
blouse
boots
cap
cardigan
coat
dress
gloves
hat
jacket
jeans
jumper
overalls
overcoat
pajamas
pants
pantyhose
raincoat
scarf
shirt
shoes
shorts
skirt
slacks
slippers
socks
stockings
suit
sweater
sweatshirt
tie
trousers
underclothes
underpants
undershirt
vest
